Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
69,Rasheer Fleming,PF,21,PHO,4,0,18,3,5,.600,3,5,.600,0,0,,.900,0,0,,1,0,1,0,2,1,1,2,9,flemira01
70,De'Aaron Fox,PG,28,SAS,21,21,704,125,302,.414,30,102,.294,95,200,.475,.464,47,62,.758,12,67,79,125,27,9,43,55,327,foxde01
71,Luka Garza,C,27,BOS,7,1,59,10,20,.500,4,13,.308,6,7,.857,.600,7,8,.875,7,5,12,6,0,1,1,14,31,garzalu01
72,Paul George,PF,35,PHI,11,11,394,65,142,.458,35,71,.493,30,71,.423,.581,15,20,.750,6,37,43,33,14,5,22,27,180,georgpa01
73,Shai Gilgeous-Alexander,PG,27,OKC,15,15,544,132,285,.463,18,59,.305,114,226,.504,.495,132,148,.892,6,38,44,119,19,13,46,34,414,gilgesh01
74,Collin Gillespie,PG,26,PHO,4,3,114,16,36,.444,10,25,.400,6,11,.545,.583,0,1,.000,6,14,20,15,5,1,4,12,42,gilleco01
75,Rudy Gobert,C,33,MIN,12,12,372,34,69,.493,0,2,.000,34,67,.507,.493,18,38,.474,42,70,112,28,14,13,15,33,86,goberru01
76,Hugo González,SF,19,BOS,4,0,19,0,3,.000,0,3,.000,0,0,,.000,0,2,.000,1,3,4,2,0,1,1,4,0,gonzahu01
77,Jordan Goodwin,PG,27,PHO,1,1,5,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,0,0,0,0,0,0,2,2,goodwjo01
78,Aaron Gordon,PF,30,DEN,3,3,89,12,30,.400,3,14,.214,9,16,.563,.450,7,10,.700,4,12,16,7,0,1,1,9,34,gordoaa01
79,Jerami Grant,PF,31,POR,5,0,112,15,43,.349,5,15,.333,10,28,.357,.407,17,18,.944,2,7,9,2,5,1,3,11,52,grantje01
80,Jalen Green,SG,23,PHO,4,4,151,32,83,.386,7,34,.206,25,49,.510,.428,16,20,.800,5,16,21,14,8,1,13,8,87,greenja05
81,Javonte Green,SG,32,DET,11,0,132,9,30,.300,7,27,.259,2,3,.667,.417,5,6,.833,2,18,20,3,6,5,3,14,30,greenja02
82,Jeff Green,PF,39,HOU,2,0,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,1,0,greenje02
83,Quentin Grimes,SG,25,PHI,11,0,243,23,58,.397,14,35,.400,9,23,.391,.517,14,16,.875,2,28,30,25,3,5,6,21,74,grimequ01
84,Mouhamed Gueye,PF,23,ATL,6,0,50,4,14,.286,1,10,.100,3,4,.750,.321,1,2,.500,5,5,10,4,1,0,1,9,10,gueyemo02
85,Rui Hachimura,PF,27,LAL,10,10,386,67,122,.549,33,58,.569,34,64,.531,.684,8,11,.727,6,34,40,17,9,6,9,28,175,hachiru01
86,Yang Hansen,C,20,POR,4,0,5,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,yangha01
87,Tim Hardaway Jr.,SG,33,DEN,6,0,140,19,45,.422,8,23,.348,11,22,.500,.511,19,24,.792,6,14,20,5,4,2,4,10,65,hardati02
88,James Harden,PG,36,CLE,18,18,672,102,249,.410,38,127,.299,64,122,.525,.486,103,124,.831,13,79,92,99,31,12,84,46,345,hardeja01
89,Dylan Harper,SG,19,SAS,23,2,615,120,233,.515,23,69,.333,97,164,.591,.564,62,75,.827,29,99,128,62,22,5,35,53,325,harpedy01
90,Ron Harper Jr.,SF,25,BOS,6,1,25,4,9,.444,3,6,.500,1,3,.333,.611,0,0,,1,3,4,1,3,0,0,1,11,harpero02
91,Tobias Harris,PF,33,DET,14,14,485,91,214,.425,19,65,.292,72,149,.483,.470,52,63,.825,16,85,101,23,21,11,15,36,253,harrito02
