Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
182,Shaedon Sharpe,SG,22,POR,5,0,67,7.5,18.3,.412,1.6,5.9,.273,5.9,12.4,.478,2.7,4.3,.625,1.6,2.7,4.3,1.6,1.1,1.1,0.0,2.7,19.3,sharpsh01
183,Jamal Shead,PG,23,TOR,7,4,224,3.7,10.4,.354,2.3,6.8,.333,1.4,3.7,.391,0.5,1.0,.500,0.5,1.8,2.3,5.6,1.6,0.2,2.3,3.5,10.1,sheadja01
184,Reed Sheppard,SG,21,HOU,6,5,192,5.1,16.5,.307,3.0,10.1,.296,2.1,6.4,.324,0.6,0.7,.750,0.2,0.9,1.1,5.2,2.4,0.9,2.3,2.6,13.7,sheppre01
185,Max Shulga,SG,23,BOS,2,0,5,7.2,14.4,.500,7.2,14.4,.500,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,21.6,shulgma01
186,Marcus Smart,SG,31,LAL,10,10,345,4.1,10.3,.394,1.8,5.2,.340,2.3,5.1,.449,3.5,4.5,.791,1.0,2.6,3.7,5.3,2.5,1.0,3.7,3.2,13.5,smartma01
187,Jabari Smith Jr.,PF,22,HOU,6,6,252,4.7,12.1,.388,2.7,7.3,.373,2.0,4.9,.412,2.9,3.7,.769,1.7,5.6,7.3,1.6,0.9,0.6,0.9,2.4,15.0,smithja05
188,Nick Smith Jr.,SG,21,LAL,6,0,18,12.0,28.0,.429,6.0,14.0,.429,6.0,14.0,.429,2.0,4.0,.500,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,32.0,smithni01
189,Tolu Smith,PF,25,DET,3,0,7,10.3,10.3,1.000,0.0,0.0,,10.3,10.3,1.000,0.0,0.0,,0.0,10.3,10.3,0.0,5.1,0.0,5.1,0.0,20.6,smithto05
190,Jeremy Sochan,PF,22,NYK,8,0,26,9.7,12.5,.778,1.4,2.8,.500,8.3,9.7,.857,6.9,11.1,.625,1.4,5.5,6.9,2.8,1.4,1.4,1.4,2.8,27.7,sochaje01
191,Isaiah Stewart,C,24,DET,14,0,165,4.4,7.4,.588,0.9,1.7,.500,3.5,5.7,.615,2.6,3.7,.706,2.8,4.6,7.4,0.7,0.2,3.1,2.0,7.9,12.2,stewais01
192,Julian Strawther,SG,23,DEN,2,0,18,4.0,14.0,.286,2.0,6.0,.333,2.0,8.0,.250,2.0,4.0,.500,2.0,4.0,6.0,0.0,0.0,0.0,4.0,4.0,12.0,strawju01
193,Max Strus,SF,29,CLE,18,4,481,4.2,10.3,.406,2.8,7.9,.358,1.3,2.4,.563,1.6,1.8,.917,2.1,4.4,6.5,2.8,1.1,0.3,1.8,4.4,12.9,strusma01
194,Jalen Suggs,PG,24,ORL,7,7,248,3.8,12.6,.299,1.9,7.8,.241,1.9,4.8,.394,1.9,2.0,.929,0.7,3.3,4.1,4.2,1.9,0.6,3.0,3.9,11.3,suggsja01
